Language,Language-code,TotalRetweetsInThatLang,IDOfTweet,RetweetCount,Text
(Korean,ko,290862,778247538738548736,2874,RT @babyddundae: 2016 chen b-day support 종대의 생일을 기념하여 남아있는 수익금에 더 보태서 기부하였습니다 ❤ 종대야 생일 축하해 ❤❤❤🤗❤❤❤  from.저스트첸x베시뽀x뚠대맘들 https://t.co/6bzz2fD…)
(Korean,ko,290862,752442999880114177,2868,RT @cws112365: 커뮤 뛸 때. 1.캐 뒤에는 사람이 있습니다. 기본 예의는 지켜야합니다. 2.앤캐는 님 소유물이 아닙니다. 3.앤오는 님 애인이 아닙니다. 4.자컾은 하루 사귀고 ㅂㅂ하고 헤어질 가벼운 사이가 아닙니다.  한 번씩만 이것들…)
(Korean,ko,290862,779998416877211648,2855,RT @cucucucucu410: '자신의 목을 졸랐다'가  1번처럼 떠오르시면 알티를)
(Korean,ko,290862,780116028621664256,2773,RT @inter_dipshit: 아 깜빡하고 자살을 안했네 나는 정말 덜렁인가봐...)
(Korean,ko,290862,780186440713940993,2736,RT @Lunarcat_: 오늘(26일)부터 크리스피크림에서 포켓몬더즌이라는 신제품이 출시됩니다.  포켓몬더즌 구성은 오리지널6개+피카츄2개+꼬부기2개+몬스터볼2개 로 15000원입니다. https://t.co/kDfIwhaFi8)
(Korean,ko,290862,589465023715512322,2594,RT @PainBlanc_4664: 난 덕후가 된걸 존나 후회하지 않는게  -일본어배움 -그림실력 늘어남 -체육지필평가볼때 경기규칙을 굳이 외울필요없음 -관심사가 생기고 취미가 늘어남 -뭔가를 할때 동기부여가 될때도 있음 -다음주 애니를 봐야하기 때…)
(Korean,ko,290862,780330613161156608,2590,RT @MBC_entertain: 갓칠이들의 물병 뒤집기 게임~! 몬가 쫌 노는 느낌이에요 #아육대 #갓세븐 #GOT7 @GOT7Official https://t.co/HJo5O3Qjn7)
(Korean,ko,290862,779933482751397890,2532,RT @Tiddid0608: rt) 만화입시하는 고3입니다 한학교에 거의 올인하다싶이 했는데 내일까지 편집마감 안 끝내면 알티해주신분들중 뽑아서  에그타르트세트 기프티콘 드리고 대학붙으면 에그타르트단품에 스타벅스 자바칩드립니다 https://t.co…)
(Korean,ko,290862,780322686664867840,2530,RT @HSangHyuk: #스타쇼360 본방사수. https://t.co/OYraAbYfvs)
(Korean,ko,290862,780251798183358464,2512,RT @bestIdolone: 캬하항항항항항항하하항항 <이번주 수요일 6시 #주간아이돌 #갓세븐 1시간 특집> https://t.co/bVBXuHgLJm)
(Korean,ko,290862,780331415724367872,2474,RT @Wandava: 지진 개선대책을 지원해달라고 하자 나중에 피해가 난 뒤 복구비를 지원해주는 게 더 경제적이라고 거절당했다  wwwwwwwwwwwwwwwwwwwwwwwww)
(Korean,ko,290862,778220618537807872,2447,RT @moonkoon8956: 별을 쫓는 아이 9월 22일 재개봉 고백실행위원회 9월 30일 개봉 프리파라 10월 개봉예정 키즈모노가타리 2부 10월 개봉예정 목소리의 형태 국내개봉 확정(날짜미정) 너의 이름은 국내개봉 확정(날짜미정) 마마마 2부…)
(Korean,ko,290862,780362816024748032,2423,RT @HSangHyuk: @CHA_NNNNN 증명사진잘나왔네요.)
(Korean,ko,290862,780268354539954176,2383,RT @joojaeduk77: 미끄럼틀에 빠진 멍뭉이 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 진짜 ㄹㅇ신나있음 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ https://t.co/TkzOqz4kek)
(Korean,ko,290862,780301667761696768,2357,RT @new_yeon: ♡RT 이벤♡ 제가 드디어 퇴직금을 받았습니다! 최대 스트레스 해결된 기념으로 알티한 분 중에 뽑아서 원하시는 먹거리 기프티콘 드리께요😍 축하멘션은 감사하지만 팔로는 거절! 마감은 이틀뒤에 해요~ https://t.co/yp…)
